IRD_mean_pre,IRD_mean_mpt,IRD_mean_post,IRDu_pre,IRDl_pre,IRDu_mpt,IRDl_mpt,IRDu_post,IRDl_post,d18o_mean_pre,d18o_mean_mpt,d18o_mean_post,d18ou_pre,d18ol_pre,d18ou_mpt,d18ol_mpt,d18ou_post,d18ol_post,time
0.280307111780843,0.221327476837388,0.56242500185443,0.184642471709293,0.375971751852394,0.154637712443542,0.288017241231234,0.282336791950372,0.842513211758489,0.191938770612169,0.145098967044447,0.165378451144429,0.141132831876172,0.242744709348165,0.127105232157293,0.163092701931601,0.102010107104294,0.228746795184564,1
0.989144920478486,0.606676704374223,2.34343972322846,0.659266492161274,1.3190233487957,0.414290625977847,0.7990627827706,1.12474047263665,3.56213897382027,0.691650420898659,0.544791290907346,0.706522862028524,0.513631467652099,0.86966937414522,0.489677765617338,0.599904816197354,0.462131888023853,0.950913836033195,3.5
1.44734253543622,0.826187787515664,4.16983141811637,0.979548023496091,1.91513704737635,0.62264261576698,1.02973295926435,2.01657388402188,6.32308895221087,1.31912260275904,1.09927497636582,1.64613734849737,1.01560156444461,1.62264364107347,0.989804009312572,1.20874594341908,1.17084373264481,2.12143096434993,6
1.93451736332004,1.46235608439033,5.87825153324741,1.33971061603507,2.52932411060502,1.07049492148441,1.85421724729625,3.27231710636049,8.48418596013433,2.03637773920903,1.76385117839166,2.74000214459561,1.61495614319125,2.45779933522682,1.56868081258603,1.95902154419729,1.98878173404795,3.49122255514328,8.5
2.53814085971048,2.49922341585256,8.39981071268382,1.8577114548595,3.21857026456147,1.66715423527857,3.33129259642655,5.36659367886879,11.4330277464989,2.75251049273262,2.53543654377228,4.01141376240132,2.2363176466859,3.26870333877934,2.22524155908555,2.845631528459,3.01601003836122,5.00681748644142,11
3.11656551690859,3.46921091903081,11.7994293041345,2.37343773853959,3.8596932952776,2.53754291667079,4.40087892139083,8.15256418859276,15.4462944196763,3.67556783377717,3.5760773038465,5.52447194984748,3.08956901400352,4.26156665355082,3.09474113020408,4.05741347748893,4.31580134252833,6.73314255716662,13.5
4.04136818281243,4.53872267619554,14.8925142363374,3.17566926590499,4.90706709971987,3.50640679981677,5.57103855257431,10.5608678330779,19.2241606395969,4.71885572455854,4.85675195373718,7.16996162707075,4.08462701205615,5.35308443706093,4.13938025129789,5.57412365617648,5.7603395577579,8.57958369638361,16
5.8651720013231,6.02509019195298,17.7070998838818,4.64690352745232,7.08344047519389,4.71550817768664,7.33467220621933,12.7013287233851,22.7128710443784,5.90106967558464,6.34136145474668,8.93833118290899,5.20399765991639,6.59814169125289,5.41540343618178,7.26731947331157,7.38490501614453,10.4917573496735,18.5
8.34678818761601,8.06443320971951,20.3182212820112,6.69874689275268,9.99482948247933,6.51274128842246,9.61612513101656,14.620596128322,26.0158464357004,7.08410653938784,7.8986198770458,10.7725778644032,6.34985732433871,7.81835575443696,6.7887581328339,9.0084816212577,9.10784677492596,12.4373089538804,21
11.3016996871183,9.99338181749155,22.9947268766023,9.0200185840173,13.5833807902194,8.21923291472713,11.767530720256,16.7851206114008,29.2043331418038,8.31970986883452,9.53898032664883,12.9837609558827,7.54062394283528,9.09879579483376,8.21661690198299,10.8613437513147,11.2188307375288,14.7486911742366,23.5
14.1167217507564,11.9692162293814,26.8006434411658,11.3000648403316,16.9333786611812,9.9169721316075,14.0214603271553,20.5488788155469,33.0524080667847,9.72127919443028,11.3032985452973,15.4268712255597,8.8667623229145,10.5757960659461,9.78680955325965,12.8197875373349,13.5875680638658,17.2661743872535,26
16.9839137760293,15.1110083958802,30.2261553950183,13.7415634242323,20.2262641278262,12.6959128437587,17.5261039480017,23.6416849593783,36.8106258306584,11.2910675926828,13.234510486899,17.8833554983174,10.3581728113826,12.223962373983,11.6494213567012,14.8195996170968,16.012300035613,19.7544109610218,28.5
20.1139548331562,20.4135301630788,32.269878394086,16.6065523916059,23.6213572747065,17.2198929805789,23.6071673455788,25.2884710606686,39.2512857275034,13.1267833733927,15.409539303127,20.3432424787107,12.0780006863134,14.175566060472,13.793568054087,17.0255105521671,18.4450625210807,22.2414224363408,31
23.2447492849055,27.6065334182611,34.9241156298924,19.5864234554082,26.9030751144028,22.9552892981348,32.2577775383874,27.8107574833184,42.0374737764664,15.1874417706292,17.7700617440653,22.8401186187339,14.0532859781506,16.3215975631078,16.0867510655148,19.4533724226158,20.8842190711548,24.7960181663129,33.5
26.1860044654204,36.0752956456344,36.4061181474154,22.3659251015928,30.0060838292479,29.5825437518604,42.5680475394084,29.1264219549681,43.6858143398626,17.3631258555022,20.1776528546888,25.2600124779788,16.1061012177059,18.6201504932986,18.4818054096279,21.8735002997498,23.262412935524,27.2576120204335,36
29.2103211834545,43.3222937597386,37.1077900949216,25.3012022622489,33.1194401046602,35.408642175026,51.2359453444512,29.7856071171872,44.4299730726559,19.7718828906712,22.7540724109783,27.5428692140515,18.3747391861665,21.1690265951759,21.0481129074782,24.4600319144784,25.5312838191194,29.5544546089836,38.5
32.7015750764179,47.9733813844552,37.7270485800553,28.647300356643,36.7558497961928,39.3882869775951,56.5584757913153,30.4494428093018,45.0046543508088,22.4393286380328,25.3253690692763,29.7711149666131,20.8120243223064,24.0666329537592,23.6359201039744,27.0148180345782,27.7641074506666,31.7781224825596,41
36.5370834129706,50.8604494495803,39.1300602819776,32.2294304587741,40.8447363671672,42.1028570855899,59.6180418135707,32.164014004982,46.0961065589732,25.3646165113069,28.0299156758551,32.0064190306899,23.4887766002153,27.2404564223985,26.3979990423591,29.6618323093511,30.0509397136693,33.9618983477104,43.5
40.2821811934226,53.074471792116,42.8047615986867,35.6527085281308,44.9116538587143,44.2904313945065,61.8585121897254,36.7144142810152,48.8951089163581,28.5587271619503,30.9513329278927,34.5223153547901,26.4308614793832,30.6865928445175,29.3742054832536,32.5284603725318,32.6286772888428,36.4159534207373,46
43.859162511243,55.7882421120704,47.4788637238938,38.8661790229543,48.8521459995316,47.2182682137406,64.3582160104003,42.1964998934655,52.7612275543221,32.0466945867537,34.0534179527533,37.2004458033646,29.6740591998521,34.4193299736553,32.4587773292599,35.6480585762466,35.3803435321657,39.0205480745634,48.5
46.9564837926932,60.2715363473478,51.9913616375581,41.7200573813589,52.1929102040276,52.5268842216514,68.0161884730442,46.8816769833882,57.101046291728,35.6701580660527,37.3118916408199,40.0077276206867,33.1145044280452,38.2258117040601,35.7524208989527,38.8713623826871,38.2323374374646,41.7831178039087,51
49.845503465868,64.7317764449769,55.4490758638878,44.4655139874163,55.2254929443197,57.8076968575814,71.6558560323725,50.1033715515815,60.7947801761941,39.423149770092,40.7601633568659,42.9460073151712,36.7268766675287,42.1194228726554,39.2658784281012,42.2544482856307,41.1657365924383,44.726278037904,53.5
53.3386304245913,68.8799737429112,58.08520709998,47.8551888490793,58.8220720001033,62.5213892520831,75.2385582337393,52.9755605833863,63.1948536165737,43.285678127654,44.3888268757776,45.9164678273646,40.4607339434706,46.1106223118374,42.9053459177878,45.8723078337673,44.1070033580312,47.7259322966979,56
57.5099723822615,72.5991981442098,62.6132168160667,51.8989823737699,63.120962390753,66.7853836999854,78.4130125884343,57.9225856411225,67.3038479910109,47.1830676267144,48.0815743590803,48.9905673013567,44.2670869428207,50.099048310608,46.5452188003669,49.6179299177937,47.1521300211742,50.8290045815391,58.5
62.2439394149326,75.6070719344456,66.4778054946483,56.5037533716439,67.9841254582213,70.3351773051257,80.8789665637654,61.8057517126964,71.1498592766001,51.0463399305878,51.7147540278806,52.1023716930969,48.0973420205118,53.9953378406638,50.1318846860405,53.2976233697207,50.2999629159902,53.9047804702037,61
66.7123463196125,77.7687763887842,69.0900794099075,60.7864181327622,72.6382745064627,72.8290523652305,82.708500412338,64.6944891689376,73.4856696508774,54.7828385830659,55.2780068074379,55.3709641946315,51.8138816207874,57.7517955453443,53.6550948388912,56.9009187759845,53.6296904414162,57.1122379478468,63.5
70.6157489284279,79.8846350859267,71.6918099787657,64.3669834585172,76.8645143983385,75.2060800611965,84.5631901106568,67.8520035427568,75.5316164147746,58.5669835170231,58.9040185966961,58.8178563039018,55.5919934259047,61.5419736081416,57.2643312873674,60.5437059060248,57.1249371796137,60.5107754281899,66
73.6917300242318,82.1935111014225,74.5787705098823,67.1733300283513,80.2101300201123,77.7632424202907,86.6237797825544,71.2970401739333,77.8605008458313,62.2284891891306,62.4461427320444,62.2494342649704,59.2549363387612,65.2020420395,60.879117788775,64.0131676753138,60.5926016647019,63.9062668652389,68.5
75.8759591453963,84.2937196185661,76.7136997150866,69.1794286830219,82.5724896077707,80.223556785754,88.3638824513783,73.5320113198829,79.8953881102904,65.912624623255,66.0214808868353,65.6561381771612,62.9876995452684,68.8375497012415,64.5442549278929,67.4987068457776,64.0278777655865,67.284398588736,71
77.5162707834744,86.6530838056338,78.6685249364291,70.7302072575964,84.3023343093523,83.1741430577964,90.1320245534713,75.522927600317,81.8141222725413,69.6113233002821,69.6919009128933,68.9189006664334,66.7339891290858,72.4886574714785,68.3197400334021,71.0640617923845,67.3860942128485,70.4517071200183,73.5
79.1399914622094,89.3887942361794,80.1219983409607,72.4495212162499,85.8304617081689,86.5792472863383,92.1983411860205,77.0437334944465,83.2002631874749,73.2522952082566,73.4733914804689,71.9676528793076,70.4113053192089,76.0932850973043,72.2183557948502,74.7284271660877,70.6000249855277,73.3352807730875,76
80.9459289940078,91.3042954938811,81.2503596333131,74.4274780482575,87.464379939758,88.8423956694232,93.7661953183389,78.2183179523383,84.282401314288,76.6497545995629,77.0658646255117,74.9444064553679,73.8556698515499,79.443839347576,75.88286042156,78.2488688294633,73.7649800854216,76.1238328253141,78.5
83.7753450948009,92.9760609067107,82.5345810979183,77.996467024482,89.5542231651199,90.9986109454021,94.9535108680192,79.5381049381799,85.5310572576567,79.9910604662568,80.5567697309938,77.7793594887417,77.3540696028196,82.628051329694,79.475966304553,81.6375731574345,76.8428397321415,78.7158792453419,81
86.1480933225952,95.1925466418001,86.5637006163913,81.0863582628832,91.2098283823072,93.851793254509,96.5333000290912,84.8374199509672,88.2899812818153,83.2186702070388,83.8401381039834,80.8447801351958,80.7720948797449,85.6652455343328,82.8770742731794,84.8032019347875,80.0532188382275,81.6363414321641,83.5
88.5048612795679,97.6428455808016,91.7288221418433,84.3422122954678,92.6675102636681,97.0844518897484,98.2012392718549,90.5092927090544,92.9483515746322,86.4327129478782,87.0129854077576,84.2165313186653,84.305014107779,88.5604117879774,86.12201727097,87.9039535445451,83.5000324974921,84.9330301398385,86
90.898450025202,98.7375090066119,94.5552986331819,87.7527957548871,94.0441042955169,98.5037152137961,98.9713027994277,93.3958063044266,95.7147909619371,89.466322206191,90.0239109997133,87.739178041235,87.7217991569461,91.2108452554358,89.1821122636999,90.8657097357266,87.054667944802,88.4236881376679,88.5
93.4019509881013,99.1951458539347,96.2438577200331,91.2096151629689,95.5942868132337,99.0183085731993,99.3719831346702,95.2519515560222,97.2357638840441,92.1658305083699,92.7173379644938,91.1423348627229,90.8259179530223,93.5057430637174,92.0047158419263,93.4299600870613,90.4670438024708,91.8176259229749,91
95.2946979499229,99.5565298554429,97.5850773477755,93.7988164182188,96.7905794816269,99.4058515710755,99.7072081398103,96.8605492033022,98.3096054922488,94.6497662241638,95.1080972793442,94.2535207520644,93.6883971858895,95.6111352624382,94.5610113612234,95.655183197465,93.6675541349986,94.8394873691301,93.5
96.9889627609964,99.7473804104833,98.8298990623813,96.053149288947,97.9247762330457,99.661671990859,99.8330888301076,98.4523899418474,99.2074081829152,96.8670743949028,97.1746413896857,96.8901234711857,96.27636438292,97.4577844068856,96.8408987890583,97.508383990313,96.4815261703214,97.2987207720499,96
98.8370696709014,99.9179077808944,99.6643204342418,98.4734420695346,99.2006972722681,99.8897697177561,99.9460458440326,99.5361193796575,99.7925214888261,98.831533611293,98.9861050547742,99.0293200850376,98.607380392205,99.0556868303811,98.8543714299881,99.1178386795603,98.8584616637921,99.2001785062831,98.5
